,Unnamed: 0,CM_candidates,L1,L2
20,20,నాకు hyperthyroid problem ఉంది,నాకు హైపర్ థైరాయిడ్ సమస్య ఉంది,I have hyperthyroid problem
21,21,ఇదేమన్నా vitamin deficiency నా,ఇదేమన్నా విటమిన్ లోపం నా,Is this my vitamin deficiency?
22,22,నేను software employee గతం 2 3 ఏళ్లుగా చేతులు తిమ్మిర్లు పట్టడం కాలు పిక్కలు పట్టడం లాంటివి జరుగుతున్నాయి,నేను సాఫ్ట్‌వేర్ ఉద్యోగి గతం 2 3 ఏళ్లుగా చేతులు తిమ్మిర్లు పట్టడం కాలు పిక్కలు పట్టడం లాంటివి జరుగుతున్నాయి,I am a software employee and have been experiencing hand cramps and leg cramps for the past 2-3 years.
23,23,అన్ని testలు చేయించాము,అన్ని పరీక్షలు చేయించుకున్నాము,We have done all the tests
24,24,diabetes ఉంది అని నిర్ధారణ అయింది.,మధుమేహం అని నిర్ధారణ అయింది.,Diabetes was diagnosed.
25,25,platelets త్వరగా తగ్గిపోతున్నాయి,ప్లేట్‌లెట్స్ త్వరగా తగ్గిపోతున్నాయి,Platelets are rapidly decreasing
26,26,smoking habbit ఉంది,ధూమపానం అలవాటు ఉంది,Has smoking habit
27,27,occassional గా smoking చేస్తుంటాను,అప్పుడప్పుడు  ధూమపానం చేస్తుంటాను,I smoke occasionally
28,28,sugar ఉన్నప్పుడు chapati తినవచ్చా?,చక్కెర ఉన్నప్పుడు చపాతీ తినవచ్చా?,Can you eat chapati with sugar?
29,29,rice తినడం వల్ల sugar ఉన్నవారిలో ఎటువంటి సమస్య వస్తుంది?,అన్నం తినడం వల్ల షుగర్ ఉన్నవారిలో ఎటువంటి సమస్య వస్తుంది?,What problem does eating rice cause in diabetics?
30,30,అలాగే weight పెరగడం కోసం homeopathy medicine వాడుతున్నాను.,అలాగే బరువు పెరగడం కోసం హోమియోపతి మెడిసిన్ వాడుతున్నాను.,Also I am using homeopathic medicine for weight gain.
31,31,నాకు primary infertility సమస్య ఉంది.,నాకు ప్రాధమిక వంధ్యత్వ సమస్య ఉంది.,I have primary infertility problem.
32,32,ఈమధ్య tensionగా ఉంటుంది.,ఈమధ్య టెన్షన్‌గా ఉంటుంది.,It will be tense now.
33,33,చిన్నప్పుడు polio వచ్చింది.,చిన్నప్పుడు పోలియో వచ్చింది.,I got polio as a child.
34,34,ఈ polioను surgery ద్వార సరిచేసుకోవచ్చా?,ఈ పోలియో శస్త్రచికిత్స ద్వార సరిచేసుకోవచ్చా?,Can this polio be cured by surgery?
35,35,"high fever, బాగా తలనొప్పి, వెన్నునొప్పి, తర్వాత body pains బాగా ఉంటే, జ్వరం వచ్చిన 3 4 days తర్వాత rashes వస్తున్నాయి.","అధిక జ్వరం, బాగా తలనొప్పి, వెన్నునొప్పి, తర్వాత శరీర నొప్పులు బాగా ఉంటే, జ్వరం వచ్చిన 3 4 రోజుల తర్వాత దద్దుర్లు వస్తున్నాయి.","If there is high fever, severe headache, backache, then body aches, the rash comes 3-4 days after the onset of fever."
36,36,నా భార్య చాలా weakగా ఉంటుంది.,నా భార్య చాలా బలహీనంగా ఉంటుంది.,My wife is very weak.
37,37,1 year నుంచి body swelling ఉంది.,1 సంవత్సరం నుంచి శరీరం వాపు ఉంది.,The body is swollen since 1 year.
38,38,abnormal గా weight increase అయితుంది.,అసాధారణంగా గా బరువు పెరుగుట అయితుంది.,Abnormal weight gain.
39,39,hairfall ఎక్కువగా ఉంది.,జుట్టు రాలడం ఎక్కువగా ఉంది.,Hair loss is high.
40,40,Dr ని కలిస్తే protein deficiency అన్నారు.,డాక్టర్ ని కలిస్తే ప్రొటీన్ లోపం అన్నారు.,"If you meet the doctor, they say protein deficiency."
41,41,Dr test చేసి synosis ఉంది అని చెప్పారు.,Dr పరీక్ష చేసి సైనోసిస్ అని చెప్పారు.,Dr did an exam and said it was cyanosis.
42,42,ఒక్కోసారి నెల మొత్తం bleeding అవుతూనే ఉంది.,ఒక్కోసారి నెల మొత్తం రక్తస్రావం అవుతూనే ఉంది.,Sometimes the bleeding continues for a whole month.
43,43,ప్రస్తుతం నా diabetes అదుపులో ఉంది.,ప్రస్తుతం నా డయాబెటిస్ అదుపులో ఉంది.,Currently my diabetes is under control.
44,44,గతం 15 years నుంచి diabetes ఉంది.,గతం 15 సంవత్సరాల నుంచి మధుమేహం ఉంది.,I have diabetes since last 15 years.
45,45,నాకు ఈమధ్య dengue జ్వరం వచ్చి hospital admit అయ్యాను.,నాకు ఈమధ్య  డెంగ్యూ జ్వరం వచ్చి ఆసుపత్రిలో చేరాను.,I recently got dengue fever and was admitted to the hospital.
46,46,vegan food తీసుకోవడం ద్వార కీళ్ల నొప్పులను దూరం పెట్టొచ్చు అని అంటున్నారు,శాకాహారి ఆహారం తీసుకోవడం ద్వార కీళ్ల నొప్పులను దూరం పెట్టొచ్చు అని అంటున్నారు,It is said that joint pain can be removed by eating vegetarian food
47,47,నా body తొందరగా dehydrate అవుతుంది.,నా శరీరం తొందరగా డీహైడ్రేట్ అవుతుంది.,My body dehydrates quickly.
48,48,2 to 3 hours తర్వాత sweating వస్తుంది.,2 నుండి 3 గంటల తర్వాత చెమట వస్తుంది.,Sweat comes after 2 to 3 hours.
49,49,severe back pain ఉంది.,తీవ్రమైన వెన్నునొప్పి ఉంది.,Have severe back pain.
50,50,కన్ను వెనక చుట్టూ బాగా pain ఉంది.,కన్ను వెనక చుట్టూ బాగా నొప్పి ఉంది.,There is severe pain around the back of the eye.
51,51,red rashes వస్తున్నాయి.,ఎరుపు దద్దుర్లు వస్తున్నాయి.,A red rash appears.
52,52,3 months course వాడాను తగ్గింది.,3 నెలల కోర్సు వాడాను తగ్గింది.,A 3 month course reduced the use.
53,53,ఆ తరువాత మళ్లీ blood test చేయించాను.,ఆ తరువాత మళ్లీ రక్త పరీక్ష చేయించుకున్నాను.,After that I did another blood test.
54,54,diabetes ఉందని నిర్ధారణ అయింది.,మధుమేహ వ్యాధి నిర్ధారణ అయింది.,Diabetes was diagnosed.
55,55,basic గా నేను boxerను.,ప్రాథమికంగా నేను బాక్సర్‌ని.,Basically I am a boxer.
56,56,boxing continue చేయొచ్చా?,నేను బాక్సింగ్‌ను కొనసాగించవచ్చా?,Can I continue boxing?
57,57,మళ్లీ ఇప్పుడు chicken pox symptoms కనిపిస్తున్నాయి.,మళ్లీ ఇప్పుడు చికెన్ పాక్స్ లక్షణాలు కనిపిస్తున్నాయి.,Again now the symptoms of chicken pox are appearing.
58,58,life లో ఒక్కసారే chickenpox వస్తుంది అంటారు కదా.,జీవితం లో ఒక్కసారే అమ్మోరు వస్తుంది కదా.,Love comes once in a lifetime.
59,59,మళ్లీ chickenpox symptoms ఎందుకు కనిపిస్తున్నాయి?,మళ్లీ అమ్మోరు లక్షణాలు ఎందుకు కనిపిస్తున్నాయి?,Why ammorrha symptoms appear again?
60,60,నాకు malaria వచ్చి తగ్గి 3 months అయితుంది.,నాకు మలేరియా వచ్చి 3 నెలలు అయితుంది.,It's been 3 months since I got malaria.
61,61,chikungunya వచ్చి తగ్గిన తరువాత joint pains అని బాధపడుతున్నాడు.,చికున్‌గున్యా వచ్చి తగ్గిన తరువాత కీళ్ల నొప్పులు అని బాధపడుతున్నాడు.,After chikungunya came and subsided he was suffering from joint pains.
62,62,నాకు malaira వచ్చి తగ్గి 2 months అయింది.,నాకు మలేరియా వచ్చి 2 నెలల అయింది.,It's been 2 months since I got malaria.
63,63,మళ్లీ ఈమధ్య malaria symptoms కనిపిస్తున్నాయి.,మళ్లీ ఈమధ్య మలేరియా లక్షణాలు కనిపిస్తున్నాయి.,Malaria symptoms are appearing again recently.
64,64,recent గా dengue fever వచ్చింది.,ఇటీవలి గా డెంగ్యూ జ్వరం వచ్చింది.,Dengue fever recently.
65,65,వాళ్లు పర్వాలేదు medicines తో continue చేయొచ్చు అన్నారు.,వాళ్లు పర్వాలేదు మందుల తో కొనసాగించవచ్చు  అన్నారు.,"They said no problem, they can continue with the medicine."
66,66,ఈ పరిస్థితులలో platelets ఇవ్వాల్సి వస్తుంది.,ఈ పరిస్థితులలో ప్లేట్‌లెట్స్ ఇవ్వాల్సి వస్తుంది.,"In these situations, platelets have to be given."
67,67,platelets ఇవ్వకుండా medicines తో తగ్గుతుందా?,ప్లేట్‌లెట్స్ ఇవ్వకుండా మందులు తో తగ్గుతుందా?,Can platelets decrease with medication without giving them?
68,68,వారం నుంచి fever తగ్గడం లేదు.,వారం నుంచి జ్వరం తగ్గడం లేదు.,The fever has not decreased since a week.
69,69,గతం 15 years నుంచి diabetes ఉంది.,గతం 15 సంవత్సరాల నుంచి మధుమేహం ఉంది.,I have diabetes since last 15 years.
70,70,గతం 15 years నుంచి మధుమేహం తో బాధపడుతున్నారు.,గతం 15 ఏళ్ల నుంచి మధుమేహంతో బాధపడుతున్నారు.,He has been suffering from diabetes since last 15 years.
71,71,allergy వల్ల అని diagnose చేశారు.,అలెర్జీ వల్ల అని నిర్ధారణ చేశారు.,Diagnosed as allergy.
72,72,improvement ఏమి లేదు.,మెరుగుదల ఏమి లేదు.,There is no improvement.
73,73,నాకు గతం 5 years నుంచి diabetes ఉంది.,నాకు గతం 5 సంవత్సరాల నుంచి మధుమేహం ఉంది.,I have diabetes since last 5 years.
74,74,body dehydration అయినప్పుడు ors తాగొచ్చా?,శరీరం డీహైడ్రేషన్ అయినప్పుడు ors తాగొచ్చా?,Can you drink ors when the body is dehydrated?
75,75,తరచూ toilet కి వెళుతుంటే test చేయించాము.,తరచుగా టాయిలెట్ కి వెళుతుంటే పరీక్ష చేయించుకున్నాము.,"If you are going to the toilet often, we have done the test."
76,76,diabetes నియంత్రణలో vegan food పాత్ర ఎంత?,మధుమేహంలో శాకాహారి ఆహారం పాత్ర నియంత్రణ ఎంత?,What is the controlling role of vegetarian diet in diabetes?
77,77,నాకు periods కూడా regularగా ఉన్నాయి.,నాకు పీరియడ్స్ కూడా రెగ్యులర్ గా ఉన్నాయి.,I have regular periods too.
78,78,second child కోసం try చేస్తున్నాం.,రెండవ బిడ్డ కోసం ప్రయత్నించండి.,Try for a second child.
79,79,ప్రతి 3 months కి ఒకసారి sugar test చేయించుకుంటున్నాను .,ప్రతి 3 నెలలకి ఒకసారి షుగర్ టెస్ట్ చేయించుకుంటున్నాను .,I am taking sugar test every 3 months.
80,80,పుట్టబోయే babyకి sugar వస్తుందా?,పుట్టబోయే బేబీకి షుగర్ వస్తుందా?,Can the unborn baby get sugar?
81,81,చాలా high fever ఉంది.,చాలా అధిక జ్వరం ఉంది.,There is a very high fever.
82,82,madam మా brotherకి 1 year back cancer వచ్చింది అండి,మేడమ్ మా అన్నకి 1 సంవత్సరం క్రితం క్యాన్సర్ వచ్చింది,"Madam, my elder brother got cancer 1 year ago"
83,83,తనకు operation చేశారు,తనకు ఆపరేషన్ చేశారు,He was operated on
84,84,so తనకు ఏమైనా possibility ఉందా అండి teeth పెట్టడానికి,so తనకు ఏమైనా అవకాశం ఉందా అని పళ్ళు పెట్టడానికి,So to see if he has any chance
85,85,తను ముందర hair అంతా loss అయిపోయింది.,తను ముందర జుట్టు అంతా అయిపోయింది.,All his front hair is gone.
86,86,దాని solution చెప్తారా కొంచం,దాని పరిష్కారం చెప్తారా కొంచం,Can you tell me the solution?
87,87,"hair fall ఉందా? అండి, లేదా hair loss అయిపోయిందా?","జుట్టు రాలడం ఉందా? అండి, లేదా జుట్టు ఊడిపోయిందా?","Have hair loss? That, or blown hair?"
88,88,కొంచం diet చేయడం వల్ల plus కొంచం చుండ్రు కూడా ఉంది అండి,కొంచం డైట్ చేయడం వల్ల కుడా కొంచం చుండ్రు కూడా ఉంది అండి,I also have a bit of dandruff due to dieting
89,89,ప్పుడు దాని solution ఏంటి అండి?,అప్పుడు దాని పరిష్కారం ఏంటి అండి?,Then what is the solution?
90,90,blood test ఏమైనా చేయించారా అండి?,రక్త పరీక్ష ఏమైనా చేయించారా?,Have you done any blood test?
91,91,"so first మనము తనకి serum Feritin levels ఎలా ఉన్నాయి, vitamin D ఎలా ఉంది, అలాగే thyroid problem ఏమైనా ఉందా?","sకాబట్టి ముందుగా మనం అతని సీరం ఫెర్రిటిన్ స్థాయిలు ఎలా ఉన్నాయి, అతని విటమిన్ డి ఎలా ఉంది మరియు ఏదైనా థైరాయిడ్ సమస్య ఏమైనా ఉందా?","So first we ask how his serum ferritin levels are, how his vitamin D is, and is there any thyroid problem?"
92,92,PCOD ఏమైనా ఉందా?,PCOD ఏమైనా ఉందా?,Is there any PCOD?
93,93,first అవి rule out చేసుకోవాలండి.,మొదటి అవి రూల్ అవుట్ చేసుకోవాలండి.,First they should be ruled out.
94,94,sir నా పేరు tulasi అండి.,సార్ నా పేరు తులసి అండి.,Sir my name is Tulsi Andi.
95,95,"ఆ నేను, Inter 1st year చదువుతున్నా","ఆ నేను, ఇంటర్ మొదటి సంవత్సరం చదువుతున్నాను",I am studying first year of inter
96,96,ఆ నేను skin-tan అనే ఒక cream రాసాను,ఆ నేను చర్మం-టాన్అ నే ఒక క్రీమ్ రాసాను,I applied a skin-tanning cream
97,97,"అది రాసాను, కొద్ది రోజులుగా pure whiteగా వచ్చాను","అది రాసాను, కొద్ది రోజులుగా స్వచ్చమైన తెలుపుగా వచ్చాను","Wrote it, came clean white in few days"
98,98,"కొన్ని days, నాకు అప్పుడు pure black అంటే black అయిపోయినా","కొన్ని రోజులు, నాకు అప్పుడు స్వచ్ఛమైన నలుపు అంటే నలుపు అయిపోయినా","Some days, pure black means black to me"
99,99,అది పూర్తిగా మానేసా skin పోతుందని,అది పూర్తిగా మానేసా చర్మం పోతుందని,It completely removes the skin
100,100,"మనకు skin ఒక్కొకరికి ఒక్కో రకంగా ఉంటది అమ్మా, dry skin అంటూ ఉంటది, wet skin ఉంటది, mixed skin ఉంటది, చాలా రకాల skin ఉంటది","మన చర్మం ఒక్కొకరికి ఒక్కో రకంగా ఉంటుంది అమ్మ, పొడి చర్మం అంటూ ఉంటుంది, తడి చర్మం ఉంటుంది, మిక్స్డ్ స్కిన్ ఉంటుంది, చాలా రకాల చర్మం ఉంటుంది","We all have different skin types mom, dry skin, wet skin, mixed skin, many skin types."
101,101,"మనకు ఏదైనా సమస్య కోసం ఏదైనా ointment గానీ ఏదైనా lotion గానీ ఏదైనా gel గానీ వాడినప్పుడు, ప్రతీ skinకి అన్నీ lotions, అన్నీ gels పడవమ్మా.","ఏదైనా ఏదైనా సమస్య కోసం ఏదైనా లేపనం లేదా ఏదైనా ఔషదం లేదా ఏదైనా మనకు జెల్ లేదా వాడినప్పుడు, ప్రతీ చర్మం కి అన్నీ లోషన్లు, అన్నీ జెల్లు పడవమ్మా.","When we use any ointment or any medicine or any gel or anything for any problem, let's put all the lotions and all the gels on every skin."
102,102,స్పర్శ తెలియడం లేదు sir.,స్పర్శ తెలియడం లేదు సార్.,I don't know touch sir.
103,103,"sir నాకు hair problem ఉంది sir, dandruff అధికంగా ఉంది","సార్ నాకు జుట్టు సమస్య ఉంది సార్, చుండ్రు ఎక్కువగా ఉంది","Sir I have hair problem sir, dandruff is high"
104,104,"ఆ sir, nearest salonలో చూపిస్తే doctorగారు ఏం చెప్పారంటే తగ్గిపోతుంది అని చెప్పేసి KZ lotion ఇచ్చారు sir.","ఆ సార్, దగ్గరలోని సెలూన్లో చూపిస్తే వైద్యుడు గారు ఏం చెప్పారంటే తగ్గిపోతుంది అని చెప్పేసి KZ లోషన్ ఇచ్చారు సార్.","Sir, if you show it to the nearest salon, it will reduce according to what the doctor said and gave KZ lotion, sir."
105,105,"అది use చేసిన ఒక 3 days బాగుంటుంది, 4th day నుంచి మళ్ళి start అవుతుంది sir.","అది వాడితే ఒక 3 రోజులు బాగుంటుంది, 4వ రోజు నుంచి మళ్ళి స్టార్ట్ అవుతుంది సార్.","If you use it, it will be good for 3 days, it will start again from the 4th day sir."
106,106,దాని ఏం solution ఉంటుంది?,దాని ఏం పరిష్కారం ఉంటుంది?,What is its solution?
107,107,ఏం పని చేస్తా ఉంటారు sir మీరు?,ఏం పని చేస్తా ఉంటారు సార్ మీరు?,What do you do sir?
108,108,sir sir నేను employee sir.,సార్ సార్ నేను ఉద్యోగి సార్.,"Sir, I am an employee."
109,109,dandruff అనేది చాలా కారణాలుగా వస్తాది అండి.,చుండ్రు అనేది చాలా కారణాలుగా వస్తాయి అండి.,Dandruff has many causes.
110,110,"madam hair, skin మీద hair రావట్లేదు, అంటే నాకు hair lightగా రాలిపోతా ఉంది.","మేడమ్ జుట్టు, చర్మం మీద జుట్టు రావట్లేదు, అంటే నాకు జుట్టు కొంచెం గా రాలిపోతా ఉంది","Madam's hair, no hair on the skin, which means that my hair is falling out a little"
111,111,hair damage ఉంది lightగా,జుట్టు నష్టం ఉంది తేలికగా,Hair loss is mild
112,112,ఎంత age sir మీది?,ఎంత వయస్సు సార్ మీది?,how old are you sir
113,113,"ఉన్నది ఊడిపోతుంది madam, hair damage ఉంది.","ఉన్నది ఊడిపోతుంది మేడమ్, జుట్టు నష్టం ఉంది.","The one is blowing madam, there is hair loss."
114,114,మీ parentsలో ఎవరికైనా తొందరగా జుట్టుపోయిన history ఉందా అండి?,మీ తల్లిదండ్రులలో ఎవరికైనా తొందరగా జుట్టుపోయిన చరిత్ర ఉందా?,Did either of your parents have a history of premature hair loss?
115,115,లేదు madam ఎవరికి లేదు madam,లేదు మేడమ్ ఎవరికి లేదు మేడమ్,No ma'am no one has no ma'am
116,116,see 23 yearsకి hair fall అయిపోతుంది,చూడండి 23 సంవత్సరాలకి జుట్టు రాలుతుంది,See hair fall at 23 years
117,117,"చాలా వరకు nutritional deficiency గానీ లేక hormonal imbalance గానీ, stress గానీ, లేక తలస్నానం సరిగ్గా maintenance problem గానీ, dandruff problem గానీ vitamin deficiency గానీ, రాక రకాల deficiency ఉంటది.","చాలా వరకు పోషకాహార లోపం లేదా లేక హార్మోన్ల అసమతుల్యత లేదా, ఒత్తిడి లేదా, లేక తలస్నానం సరిగ్గా నిర్వహణ సమస్య లేదా, చుండ్రు సమస్య లేదా విటమిన్ లోపం లేదా, రాక రకాల లోపం ఉంటుంది.","Most of them are due to nutritional deficiency or hormonal imbalance, stress or improper bathing, dandruff problem or vitamin deficiency or lack of hair types."
118,118,so దాన్ని identify చేసి ఆ చిన్న problemని మనం solve చేసుకుంటే మంచిది.,కాబట్టి దాన్ని గుర్తించి ఆ చిన్న సమస్యని మనం పరిష్కరించుకుంటే మంచిది.,So it's better if we figure it out and solve that little problem.
119,119,మీకు ఎన్ని సంవత్సరాల నుంచి hair fall ఉంది sir మీకు?,మీకు ఎన్ని సంవత్సరాల నుంచి జుట్టు  రాలుతుంది సార్ మీకు?,How old are you losing your hair sir?
120,120,కలిస్తే tablets అవన్నీ ఇచ్చారు.,కలిస్తే మాత్రలు అవన్నీ ఇచ్చారు.,All the pills were given.
121,121,"so tablet ఇచ్చి supplements ఇచ్చినా కూడా మీకు hair fall, జుట్టు రాలిపొవడం అనేది తగ్గడం లేదు అంటే జుట్టులోని ఏదో లోపం ఉంది అని అర్ధం.","కాబట్టి మాత్ర ఇచ్చి సప్లిమెంట్స్ ఇచ్చినా కూడా మీకు జుట్టు రాలడం, జుట్టు రాలిపోవడం అనేది తగ్గడం లేదు అంటే జుట్టులోని ఏదో లోపం ఉంది అని అర్ధం.","So even after giving pills and giving supplements you have hair loss, hair loss is not reducing which means there is something wrong with the hair."
122,122,అంటే growth factors అనేవి లోపించాయి అని అర్ధం.,పెరుగుదల కారకాలు అనేవి లోపించాయి అని అర్ధం.,Growth factors are deficient.
123,123,దాని prp treatment అని చేస్తారు,దాని prp చికిత్స అని చేస్తారు,Its called prp treatment
124,124,so మన సొంత రక్తంలో నుంచి plasma తీసి అక్కడ growth factorని లోపల induce చేస్తారు.,కాబట్టి మన సొంత రక్తంలో నుంచి ప్లాస్మా తీసి అక్కడ వృద్ధి కారకాన్ని లోపల ప్రేరేపిస్తారు,So they take plasma from our own blood and infuse the growth factor inside
125,125,fever వల్ల 1 week నుండెల్లి స్నానం చేయించలేదు,జ్వరం వల్ల 1 వారం నుండెల్లి స్నానం చేయించలేదు,"Due to fever, Delli has not bathed for 1 week"
126,126,"తర్వాత head పైన, hairs పైన మొత్తం పొట్టులాగా లేస్తుంటే, ఆ పొట్టుతో పాటు hairs ఊడిపోతున్నాయండీ.","తర్వాత తల పైన, వెంట్రుకలు పైన మొత్తం పొట్టులాగా లేస్తుంటే, ఆ పొట్టుతో పాటు వెంట్రుకలు ఊడిపోతున్నాయండీ.","Then on the top of the head, if the hairs are all like flakes, then the hairs are falling out along with the flakes."
127,127,"sir చిన్న పాప కదా, తనకి birth defect అయినా ఉండొచ్చు.","సార్ చిన్న పాప కదా, తనకి పుట్టిన లోపం అయినా ఉండొచ్చు.","Sir, he is a small baby, he may have a birth defect."
128,128,ఒకసారి pediatrician ని చూపించండి మీరు.,ఒకసారి శిశువైద్యుడు ని చూపించండి మీరు.,Show the pediatrician once.
129,129,ఎందుకంటే 50 days పాప only నెలన్నర కదా,ఎందుకంటే 50 రోజుల పాప మాత్రమే నెలన్నర కదా,Because a 50-day-old baby is only half a month
130,130,"ఎవరికి లేదు, genetically బట్టతల అనేది లేదు","ఎవరికి లేదు, జన్యుపరంగా బట్టతల అనేది లేదు",No one is genetically bald
131,131,"దీన్ని androgenal teloframe అంటాము, generalగా అంటే, వంశపారంపర్యంగా వచ్చే hair loss.","దీన్ని ఆండ్రోజెనల్ టెలోఫ్రేమ్ అంటాము, సాధారణంగా అంటే, వంశపారంపర్యంగా వచ్చే జుట్టు ఊడుట.","This is called the androgenic teloframe, which usually means hereditary hair loss."
132,132,"so sir మీకు 34 yearsకే మీకు జుట్టు రాలిపోతుందంటే, main reason మీకు lifestyle problems ఉండొచ్చు, hormonal problems కావొచ్చు, stress కావొచ్చు, nutritional deficiency కావొచ్చు.","కాబట్టి సార్ మీకు 34 సంవత్సరాలకే మీకు జుట్టు రాలిపోతుందంటే, ప్రధాన కారణం మీకు జీవనశైలి సమస్యలు ఉండొచ్చు, హార్మోన్ల సమస్యలు కావొచ్చు, ఒత్తిడి కావొచ్చు, పోషకాహార లోపం కావొచ్చు.","So sir if you are losing your hair at the age of 34, the main reason may be lifestyle problems, hormonal problems, stress, nutritional deficiency."
133,133,white hair అయిపోతుంది,తెల్ల జుట్టు అయిపోతుంది,Gone is the white hair
134,134,"grey hair, premature greying అనేది 2 reasons వలన వస్తాది ఎవరికి కూడా","నెరిసిన వెంట్రుకలు, అకాల గ్రేయింగ్ అనేది 2 కారణాల వలన వస్తాది ఎవరికి కూడా",Gray hairs and premature graying can happen to anyone due to 2 reasons
135,135,ఒక్కటి genetically రావాలి. మన ఇంట్లో ఎవరికైనా ఉంటే రెండోది nutritional deficiency,ఒక్కటి వంశపార్యపరంగా రావాలి. మన ఇంట్లో ఎవరికైనా ఉంటే రెండోది పోషకాహార లోపం,One has to come through genealogy. The second is malnutrition if anyone in our house has it
136,136,marriage అయిందా?,వివాహం అయిందా?,Married?
137,137,ముందు ఏమైనా treatments ఏమైనా చేయించుకున్నారా అండి hair fallకి?,ముందు ఏమైనా చికిత్సలు చేయించుకున్నారా అండి జుట్టు రాలడం?,Have you had any treatments for hair loss before?
138,138,మీరు మందులు continueగా ఎన్ని రోజులు వాడారు అమ్మా?,మీరు మందులు వరుసగా ఎన్ని రోజులు వాడాలి అమ్మ?,How many days should you use the medicine in a row mom?
139,139,"correctగా ఒక 5 days వాడుతున్నాను, కంటికి కనిపించట్లేదు.","సరిగ్గా ఒక 5 రోజులు వాడుతున్నాను, కంటికి కనిపించట్లేదు.",I have been using it for exactly 5 days and I can't see it.
140,140,minimum skinకి 2 to 4 weeks continueగా వాడాలి,కనిష్ట చర్మానికి 2 నుండి 4 వారాలు కొనసాగాలి,Minimum skin should last 2 to 4 weeks
141,141,only creams ఏ వాడుతున్నారా? tablets కూడా వాడుతున్నారా?,క్రీములు మాత్రమే ఏ వాడుతున్నారా? మాత్రలు కూడా వాడుతున్నారా?,Are you using creams only? Also using pills?
142,142,ఆ tablets వచ్చేసి 3 days కి ఇచ్చారు,ఆ మాత్రలు వచ్చేసి 3 రోజులు కి ఇచ్చారు,The tablets came and were given for 3 days
143,143,"మీరు ఎక్కడ, dermatologistనే కలిసారా?","మీరు ఎక్కడ, చర్మవ్యాధి నిపుణుడిని కలిసారా?",Where did you meet the dermatologist?
144,144,"ఆ కలిసాము, ఆయన కూడా ఇదే అన్నారు, aayana emannarante మందు continueగా వాడితేనే పోతుంది అండి అని.","ఆ కలిసాము, ఆయన కూడా ఇదే అన్నారు, ఆయన ఏమన్నారంటే మందు వరుసగా వాడితేనే పోతుంది అండి అని.","When we met, he also said the same thing, what he said is that if the medicine is used consecutively, the pain will go away."
