,L1,L2,CM_candidates
3040,మిస్ యూ సుశాంత్ డై హార్డ్ ఫ్యాన్ ఆఫ్ యూ 😭😭,Miss you susanth die hard fan of u 😭 😭,Miss you susanth అన్న die hard fan of u 😭 😭
3180,నాకు ది సినిమా అంటే చాలా ఇష్టం. ఇది సరైన సమీక్ష కాదు,I like the movie alot . this is not correct review,I like ది movie alot . this is not correct review
457,@meghana_Nani_ @NameisNani చాలా బాగుంది అసలు బోర్ కొటాలే 😁,@meghana_Nani_ @NameisNani It's very good not boring at all 😁,@meghana_Nani_ @NameisNani చాల భగుంధి అసల్ bore కోటలే 😁
4813,మీ కన్నడ భాష చాలా బాగుంది సోదరా. 👌,Your Kannada talking is very nice bro. 👌,Your కన్నడ talking is very nice bro . 👌
4374,"సోదరా , దయచేసి ఉపశీర్షికలను జోడించడానికి ప్రయత్నించండి .","Brother , please try to add subtitles .","Brother , please try to add subtitles . "
1407,1 రోజులో 3 వీడియోలు గత 13 జనవరి 2 వీడియోలు పోస్ట్ చేయబడలేదు,3 videos in 1 day Last 13 Jan 2 videos are not posted,3 videos in 1 day Last 13 jan లో 2 videos పెట్టరు
158,"ప్రియమైన నీ వీక్షణ, నిన్ను ప్రేమిస్తున్నాను. ది బెస్ట్ ఫీల్ గుడ్ మూవీని చూడటం కోసం. )","Dear ThyView , love you . for making to watch the best feel good movie . )","Dear ThyView , love you . for making to watch ది best feel good movie . ) "
12,జై మగా ఫ్యామిలీ 100 రోజులు కన్ఫర్మ్,Jai Maga family 100 days conform,జై మగా family 100 days conform
587,బాధితురాలు ఆమెను చంపలేదు,Victim she did not kill her,Victim she did not kill her
3228,పవర్ ప్లే సినిమా 🍿 సమీక్ష అవసరం,Power play movie 🍿 review needed,Power play movie 🍿 review కావలి
749,ఇది ఖచ్చితంగా నచ్చింది. సినిమా ఎంత బాగుందో ది లైన్‌లోనే చెప్పాలి. .,Absolutely loved it . the line itself speaks how good the movie is . .,Absolutely loved it . ది line itself speaks how good the movie is . .
552,నేను పెంగ్విన్‌ని చూస్తున్నాను. ప్రైమ్‌తో,I'm Watching Penguin . With Prime,Iam Watching Penguin . With Prime
636,`` v `` సినిమా కోసం వెయిట్ చేస్తున్నాను,I am waiting `` v `` movie,I am waiting `` v `` movie
760,బ్రో మీరు అమరు తల్లి గురించి వీడియో చేయగలరా,Bro can you do a video about Amauru's mother,Bro can you do a video about అమౌరు తల్లి
1295,నేను ఈ సంవత్సరం కె అనుకుంటున్నాను. జి . F అధ్యాయం 2 బిగ్గెస్ట్ హిట్ అవుతుంది ఎటువంటి సందేహం లేదు,I think this year K . G . F CHAPTER 2 will be BIGGEST HIT No Doubt,I think this year కె . G . F CHAPTER 2 will be BIGGEST HIT No Doubt
348,"@ImGajala @______POV______ హే, అతను ఇతర AA అభిమానులలా కాదు.","@ImGajala @______POV______ Hey, he's not like other AA fans.",@ImGajala @______POV______ రెయ్యయ్ ఒద్దు వాడు మిగిత AA fans లాగ కాదు మంచోడు ... అవసరం లేకపోతె తప్పా trolls ఇయ్యడు 👍
951,@urstrulychandh ఎల్లేహే . Srh ki మద్దతు GA. పోగొట్టుకోండి,@urstrulychandh Ellehe . you supported Srh. Get lost,@urstrulychandh ఎల్లేహే . Srh ki support ఇచ్చావ్ GA . Get lost
1056,@AI_freak @rexgemz సిగ్గు లేకుండా మిమ్మల్ని ట్యాగ్ చేస్తున్నారు సోదరా,@AI_freak @rexgemz shamelessly tagging you bro,@AI_freak @rexgemz సిగ్గులేకుండా tag చేస్తున్నావ్ రా మల్ల
3464,"@అత్తంటి అనిరుధ్ సరే, హలో! సిక్ సెరిబ్రమ్‌ను క్లెయిమ్ చేసినందుకు ధన్యవాదాలు","@Attanti Anirudh Well, HELLO THERE! Thanks for claiming the sick cerebrum","@Attanti అనిరుధ్ Well , HELLO THERE ! Thanks for claiming the sick cerebrum "
141,హలో మీ వీక్షణకు అందరికీ స్వాగతం ☺,Hello all welcome to thyview ☺,Hello all welcome to thyview ☺
3654,బ్రో మీరు మీ జిమెయిల్ ఇవ్వగలరు,Broo can u give ur gmail,Broo can u give ur gmail
1469,Bro please make a video on Break down of ``అవనే శ్రీమన్నారాయణ ఎ.కె. ఆయనే శ్రీమన్నారాయణ``,Bro please make a video on Break down of ``Avane Shrimannaraya A. K. a He is Srimannaraya ``,Bro please make a video on Break down of `` అవనే Shrimannaraya A . కె . a అతడే శ్రీమన్నరాయ ``
210,@kasyap__7396 @PawanKalyan లాభం కోల్పోకుండా మంచి పని చేసారు,@kasyap__7396 @PawanKalyan did a good job without losing the benefit,@kasyap__7396 @PawanKalyan మాంచి పాణి చేసావ్ అన్న benifit ki పోకుండా
490,వేగవంతమైన మరియు మంచి సమీక్ష మ్యాజికల్ వాయిస్ 😊 👌 👏 👏,Fastest and good review magical voice 😊 👌 👏 👏,Fastest and good review magical voice 😊 👌 👏 👏
2233,"నాని నటనకు మాత్రమే ట్విస్ట్‌లు, సస్పెన్స్‌లు లేవు","Only for Nani Acting , No twists and suspense","Only for Nani Acting , No twists and suspense "
3025,మొత్తం 4 కథాంశాలు బాగున్నాయి మరియు ప్రతి ఒక్కరూ తప్పక చూడండి,All 4 story lines are good and must watch everyone,All 4 story lines are good and must watch everyone
1171,@DrPradeepChinta చాలా బాగుంది పానీ అన్నా... కొనసాగించండి 👍,@DrPradeepChinta Very good Pani Anna ... Keep it up 👍,@DrPradeepChinta చాల మాంచి పాణి అన్నా ... Keep it up 👍
703,@Muralistweetz2 ఎంత సుఖంగా ఉన్నావు మురళీ... విల్లు తీయండి 🤝,@Muralistweetz2 How comfortable you are Murali ... Take a bow 🤝,@Muralistweetz2 ఎంతా హాయిగా పడవు మురళి ... Take a bow 🤝
2570,@Ustaad_cultz 🤣 😂 ఇది ఇచ్చవ్ గా చాలు లే 😌,@Ustaad_cultz 🤣 😂 You gave this it's enough😌,@Ustaad_cultz 🤣 😂 Idi ఇచ్చవ్ gaa చాలు le 😌
4618,ఈ డార్క్‌కి సంబంధించిన మీ సమీక్ష నా ఆలోచనకు సమానంగా ఉంది,Your review for this DARK is similar to my thinking . Uff finished DARK 🖤,Your review for this DARK is same as my thinking Similar కాస్త Uff finished DARK 🖤
98,దయచేసి నాకు ఇంగ్లీషులో చెప్పండి Red is hit or not,Please tell me in English Red is hit or not,Please tell me in English Red is hit or not
801,@differentstar__ పెళ్లి చేసుకోకుండానే సంతోషంగా ఉండవచ్చు,@differentstar__ can be happy without getting married ga,@differentstar__ పెళ్లి చేస్కోకుండా హయ్యిగా ఉండొచ్చు ga
3295,MCM ఉత్తమంగా చిత్రీకరించబడిన నవల.,MCM is a PICTURIZED NOVEL at its best .,MCM is a PICTURIZED NOVEL at its best .
4632,హైలైట్ చేయబడిన సమస్యలు మంచివి కానీ ప్రభావవంతంగా లేవు. సరే సినిమా,Highlighted issues r good but not effective . ok movie,Highlighted issues r good but not effective . ok movie
4536,మంచి సమీక్షకు ధన్యవాదాలు బ్రో 👌 👌 👍,thanks broo for good review 👌 👌 👍,thanks broo for good review 👌 👌 👍
4460,@Nandu_Reddy13 @satya___surya సిగ్గు లేకుండా బయటకు వస్తాడు మరియు బాధ్యత వహించడు,@Nandu_Reddy13 @satya___surya will come out shameless and not responsible,@Nandu_Reddy13 @satya___surya వచ్చేస్తారు బయటకి సిగు లేకండా బాద్యత ఉండక్కర్లేదు
4410,బ్రో సమీక్ష గాగా కేసరి. యష్ సినిమా తెలుగులోకి డబ్ అయి ఈరోజే విడుదలైంది,Bro review Gaga Kesari. Yash movie which dubbed in Telugu and released today,Bro review గాగా కేసరి . yash movie which dubbed in తెలుగు and released today
1169,ప్రారంభ ఆలోచన షట్టర్ ద్వీపం నుండి తీసుకోబడింది,starting idea was taken from shutter island,starting idea was taken from shutter island
2387,2వది సోదరుడి ఇష్టం కానీ అమ్మాయి లేదా 1వది,2nd like bro but girl or 1st,2nd like bro but girl or 1st
3222,మేరు ఆయతే అని భాషల సినిమాలు కవర్ చేస్తారు,You cover all language movies,మేరు ayate అని languages movies cover చెస్తరు
4469,కపటధారి రివ్యూ కోసం అన్నా వేచి ❤️,Bro waiting for Kapatadhari review ❤ ️,అన్నా waiting for కపటధారి review ❤ ️
4663,పొగరు సినిమా రివ్యూ కోసం వెయిట్ చేస్తున్నాం,We r waiting for Pogaru movie review,We r waiting for పొగరు movie review
3171,@YaddyManiA @The_Kittuu @ Anchalla3 నాకు హ్యాండ్ గా ఇవ్వండి.. ఈరోజు తాగవద్దు,@YaddyManiA @The_Kittuu @Anchalla3 You gave me hand .. no drinking today,@YaddyManiA @The_Kittuu @Anchalla3 Hand ఇచ్చావ్ ga .. no drinking today
588,ముందుగా ఆ పాట ఇహ పాడలేదు,First of all I didn't like the song,First of all aa song eh నాచలేదు
1645,దయచేసి రాబర్ట్ సినిమా రివ్యూ చేయగలరా,Can u make robbert movie review please,Can u make robbert movie review please
2807,"బయ్యా, నీ స్వరం నాకు చాలా ఇష్టం","Bro , I love your voice","Bayya , I love your voice "
2956,మంచి చిత్రం . మీరు దానిని చూడవచ్చు,Good movie . you can watch it,Good movie . you can watch it
3052,హాయ్ బ్రో జల్లికట్టు సినిమా రివ్యూ చెప్పండి బ్రదర్,Hi bro Jallikattu movie review tell me bro,Hi bro జల్లికట్టు movie review చెపు bro
3178,మాకు ది రాబర్ట్ సినిమా రివ్యూ ఇవ్వండి బ్రో,Give us the Robert movie review bro,Give us ది Robert movie review bro
4025,బ్రో ఇది తెలుగు రివ్యూ 😌,Bro is it a Telugu review 😌,Bro is it a తెలుగు review 😌
63,"చాలా ఆలస్యంగా ga పెట్టావ్ బయ్యా సమీక్ష, మధ్యాహ్నం నుండి వేచి ఉంది","you put the review very late bro, waiting since afternoon","చాల late ga పెట్టావ్ బయ్యా review , afternoon నుండి waiting "
1982,@MessiBabai @Cult_KalyanFan ఒక సూచన ఇద్దాం,@MessiBabai @Cult_KalyanFan let's just give a hint,@MessiBabai @Cult_KalyanFan ను aa మాత్రమ్ hint ఇచవ్గా చెల్రేగిపోదాం
795,@THYVIEW ఓ మై గాడ్ 😲 😲 నాకు టీమ్ నుండి ప్రత్యుత్తరం వచ్చింది @THYVIEW,@THYVIEW oh my god 😲 😲 I got reply from team @THYVIEW,@THYVIEW oh my god 😲 😲 I got reply from team @THYVIEW
4739,సంక్రాంతి విజేత రవితేజ క్రాక్ మాత్రమే,Sankranti winner is Ravi Teja's krack only,సంక్రాంతి winner is Ravi Teja 's krack only
4004,బ్రో కపటాద్రి రివ్యూ ఎక్కడ?,Bro where is Kapatadri review?,Bro where is కపటాద్రి review ?
3035,బ్లాక్ బస్టర్ సినిమా 🎥 . నాకు అది నచ్చింది . .,Blockbuster movie 🎥 . I liked it . .,Block buster movie 🎥 . I liked it . .
1584,@krish_k_97 @Bobbydhfm_ @praboss_1 మీరు ఏకగ్రీవంగా లేరని చెప్పండి మీరు మోడెమ్ కాదు,@krish_k_97 @Bobbydhfm_ @praboss_1 tell me you are not unanimous you are not modem,@krish_k_97 @Bobbydhfm_ @praboss_1 చెప్పు తో దేంగాలి రా నిన్ను unanimous అంట గాడిద మోడెమ్ కాదు
2297,@సాయి రామ్ 66 బాగా చేసారు. మీరు ఈ వీడియోలో చూడవచ్చు,@Sai Ram 66 Well done. u can watch in this video,@Sai Ram 66 బాగుండి . u can watch in this video
3682,@82_Mohali @imVkohli ipl ee సంవత్సరంతో 3 ట్రోఫీలు... మీరు హిట్ అయితే వదిలివేయండి,@82_Mohali @imVkohli 3 trophies with ipl this year... if you hit then leave bye,@82_Mohali @imVkohli ipl తో 3 ట్రోఫీలు ee year ... కొట్టేస్తే హాయ్గా వెళ్ళిపోవచు
3659,250 మంది సబ్‌స్క్రైబర్‌లకు నీ వీక్షణ అభినందనలు 🎉 🎉 మీకు తగిన కీర్తి లభిస్తుందని ఆశిస్తున్నాను 👍🏻 👍🏻 👍🏻 👍🏻,Thyview congratulations 🎉 🎉 for 250 k subscribers hope u get the fame u deserve 👍🏻 👍🏻 👍🏻 👍🏻,Thyview congratulations 🎉 🎉 for 250 కె subscribers hope u get the fame u deserve 👍🏻 👍🏻 👍🏻 👍🏻
3075,తమన్స్ బ్యాక్ గ్రౌండ్ స్కోర్ రాక్షసుడు సినిమా బీజీ స్కోర్ లా ఉంది,Thamans background score is as it is Rakshasudu movie bg score,Thamans background score is as it is రాక్షసుడు movie bg score
3276,@ravi_parimah కొరటాల వల్ల మహేష్ కంటే ముందు అన్నదారికి.. శాంతి శాంతి... @nih4mahi @nimiksha,@ravi_parimah end of the day Annadhariki before Mahesh because of the fights .. peace peace ... @nih4mahi @nimiksha,@ravi_primah end of the day anndhariki Mahesh ముందు ఇష్టమ్ ఎందుకంటే ee గొడవలు .. శాంతి శాంతి ... @Niha4Mahi @nimiksha
4569,@balayya_garu @darling_kamlak @nbatrends @manabalayya పో సంక నాకండి బాబు మోహన్ గాంధీ,@balayya_garu @darling_kamlak @nbatrends @manabalayya Po Sanka Nakandi Babu Mohan Gandi,@Balayya_Garu @darling_kamalk @NBKTrends @manabalayya Poe సంక నాకండీ babu mohan గండి
4935,"బెస్ట్ ఎమోషనల్ రైడ్ 😍 , మిస్ యు #ssr 😓","Best emotional ride 😍 , miss u #ssr 😓","Best emotional ride 😍 , miss u #ssr 😓 "
2728,మోసగాళ్లు రివ్యూ బ్రో దాని కోసం వెయిటింగ్ బ్రో 👍,Mosagallu review bro waiting for it bro 👍,మోసగల్లు review bro waiting for it bro 👍
1354,సినిమా బాగుంది. దయచేసి నా సమీక్షలకు కూడా నాకు మద్దతు ఇవ్వండి. .,Movie is good . kindly support me for my reviews too . .,Movie is good . kindly support me for my reviews too . .
1908,అవును బ్రో రవితేజ సూపర్ కమ్‌బ్యాక్.,Yes bro super comeback for raviteja .,Yes bro super comeback for raviteja .
2201,నీ దృక్కోణం పట్ల నా మొదటి డిస్ లైక్. .,My first dis like for thyview . .,My first dis like for thyview . .
274,మోసగాళ్లు మరియు సి సి సి మరియు శశి రివ్యూ చారి అన్న మీరు మోసగాళ్ళు రివ్యూ ఇచ్చారు,mosagallu and ckc and sashi review chari anna you cheaters have given review,mosagallu and ckc and sashi review చారి అన్న నువ్వు మోసగాళ్లు review ఇచ్చాయి
3942,@NCbackup @jack Ha Mawa 😂 నాకు ఏమి చేయాలో తెలియడం లేదు,@NCbackup @jack Ha Mawa 😂 I'm not sure what to do,@NCbackup @jack Ha మావా 😂 manchhi పాణి ఏయ్ చేసాడు
3666,"అంగీకరిస్తున్నాను, కానీ మంచి సినిమా చేయడానికి అదనపు శ్రమ అవసరం","Agree , but making a good film needs extra work ","Agree , but making a good film needs extra work చాలా "
3514,@Iam__praneeth ఈసారి నాకు సూచన ఇస్తారు gaa తదుపరిసారి జోడిస్తుంది 😂 😂,"@Iam__praneeth you gave me me a hint this time, will add next time  😂 😂",@Iam__praneeth ఈసారి hint ఇచ్చవ్ gaa next time add చేస్తాడు le 😂 😂
4326,@goodshrtrrrs దాని ..... రిపోర్ట్ మింగు ట్వీట్ .. కాబట్టి నేను చిల్లర చేస్తాను అది గొట్టండి,@goodshrtrrrs its ..... report mingu tweet .. so retail i will da it gottandi,@GoudSRtrs ధని ..... Report మింగు tweet ని .. Maree chillar gaa చేస్తాను గొట్టంధి
1545,@Manny_Kizie మంచోడు కోణం చిన్నపిల్లోడివి అన్నాడు 😂,@Manny_Kizie Manchodu angled Chinnapillodivi said 😂,@Manny_Kizie మంచోడు anled అన్న చైనాపిలోడివి అన్నాను 😂
1004,బొమ్మ బ్లాక్ బస్టర్ అక్కడ నచ్చలేదు అంటాడు ఈయన 😂 😂,BOMMA BLOCKBUSTER AKKADA NACCHALEDU ANTAADU EEYANA 😂 😂,BOMMA BLOCKBUSTER AKKADA NACCHALEDU ANTAADU EEYANA 😂 😂
1989,చాలా మార్తా భయ్యా మిస్సింగ్. .,Missing so much Marta Bro ..,Missing so much మార్తా భయ్యా . .
1535,నూ బ్రో సినిమా సూపర్ బ్రో. ఈ సినిమా రివ్యూ కోసం మీరు తప్పు చేసారు. .,No bro movie supe . You did a mistake for this movie review . .,Noo bro cinima supar bro . You did a mistake for this movie review . .
335,ఇది మంచి ఫీల్ గుడ్ మూవీ . నీకెందుకు అంత నిరాశ,It 's a feel good movie . Why so disappointment for you,It 's a feel good movie . Why so disappointment for you
1420,@sekhar_rcfanboy @CaptainCheeku మీరు అదే రిప్లై ఇచ్చారు 🙄 😂,@sekhar_rcfanboy @CaptainCheeku you gave the same reply 🙄 😂,@sekhar_rcfanboy @CaptainCheeku నువ్ అదే reply ఇచ్చావ్ ga 🙄 😂
1472,@4ever_introvert @LoyalSACHinlst అక్కడ మాస్ వార్నింగ్ ఇచ్చారు అప్పుడు ఆలోచించండి,@4ever_introvert @LoyalSACHinlst I think you gave a mass warning then,@4ever_introvert @LoyalSACHinlst అపట్లో mass warning ఇచ్చావ్ gaa అపుడు అనుకుంట
306,అది ఇవ్వు బ్రదర్. నంది & కపటధారి రివ్యూ,Bro give that. Nandi & Kapatadhari Review,Bro ఇస్తాయి us . నంది & కపటధారి review
486,మ్యాన్ లవ్లీ మూవీ చివరి 20 నిమిషాల సూపర్ ఎమోషనల్,Man lovely movie last 20 minutes super emotional,Man lovely movie last 20 minutes super emotional
1510,మీ వాయిస్ చాలా బాగుంది సార్ 👏 👏,Your voice is too good sir 👏 👏,Your voice is too good sir 👏 👏
2121,ఇక్కడ మీరు ఎదురుచూస్తున్న దృశ్యం 👍,Here the scene you are waiting for 👍,Here the scene you are waiting for 👍
2501,45 సెకన్లు 752 ఇష్టాలు మరియు 84 వీక్షణలు WTF,45 seconds 752 likes and 84 views WTF,45 seconds 752 likes and 84 views WTF
2825,బ్రో ఫాల్కన్ మరియు శీతాకాల సైనికుల సమీక్ష చెయ్ బ్రో,Bro do falcon and winter soldier review,Bro falcon and winter soldier review చెయ్ bro
3303,చాలా వేచి ఉండి మొదటి వ్యాఖ్య 🥰 🥰,Waited a lot and first comment 🥰 🥰,Waited a lot and first comment 🥰 🥰
4531,అతనికి 2 లేదా 3 రోమ్ కామ్‌లు మాత్రమే ఉన్నాయి,He has only 2 or 3 rom coms,He has only 2 or 3 rom coms
3457,అన్నా pls స్కామ్ 1992పై సమీక్ష చేయండి,Bro pls make a review on scam 1992,అన్నా pls make a review on scam 1992
167,బ్రో రాజేంద్ర ప్రసాద్ ఉత్తమ సినిమాలు,Bro Rajendra Prasad best movies,Bro రాజేంద్ర prasad best movies
481,కపట సమీక్ష అలాగే టీమ్,Hypocrite review as well Team,కపటధారి review as well Team
926,బ్రో పవర్ ప్లే రివ్యూ చెప్పావా,Bro say power play review,Bro power play review చెప్పారా
2392,అందులో వెన్నెల కిషోర్ సూపర్,Vennela Kishore super in this,Vennala Kishore super ee దాంట్లో
4810,కన్నడ పొగరు సమీక్ష దయచేసి బ్రో,Kannada Pogaru review please bro,Kannada పొగరు review please bro
1713,అన్న అరణ్య సినిమా రివ్యూ ఇవ్వండి,Give Anna aranya movie review,Anna aranya movie review ఇవ్వు
2057,లేదు బ్రదర్ రెండు సినిమాలు బాగున్నాయి,No bro both movies good,No bro both movies good
3976,@VenkaT_PawanisT హా మంచి పని చేసావ్ 👍 లాక్ చేయండి,@VenkaT_PawanisT You did a good thing by locking it 👍 ,@VenkaT_PawanisT Ha మాంచి పాణి చేసావ్ 👍 lock వేసి
3067,@AGirl_IsSou నైస్ dp డ్రెస్ చాలా ఉంది,"@AGirl_IsSou Nice dp, Dress is a very nice",@AGirl_IsSou Nice dp Dress చాల భాగంది
3606,జాక్ స్నైడర్ జస్టిస్ లీగ్ ముగింపు మేడ వివరణ వీడియో చేయండి,Bro do a video explaining the ending of Zack Snyder justice league,Zack Snyder justice league ending మేడ explaination video cheyandi bro
889,సూర్య అన్న నటన సూపర్ మరియు హీరోయిన్ అపర్ణ బాలమురళి సూపర్,Suriya Anna acting super and heroine Aparna Balamurali super,Suriya అన్న acting super and heroine అపర్ణ బాలమురళి super
1199,నీ దృక్కోణం - నాకు కొంత నచ్చింది ,Thy view -i kinda liked it],Thy view -i కాస్త liked it 
4359,మీ సమీక్ష చాలా చెడ్డది ☠ ️ 👿 😈,Your review is very bad ☠ ️ 👿 😈,Your review is very bad ☠ ️ 👿 😈
1360,@SrutiTarak 😂 😂 😂 😂 ఊహించుకోండి ... సమయం తప్పు చర్చ ... లెగ్ పీస్ పెద్ద భాగం 😆,@SrutiTarak 😂 😂 😂 😂 just imagine ... Time is wrong discussion ... Leg piece is a big part 😆,@SrutiTarak 😂 😂 😂 😂 just imagine ... Tine తప్పుడు వాలా discussion ... Leg piece చాల భాగంది రా 😆
1145,"ఆహ్, మీరు ఇప్పటి వరకు ప్రత్యుత్తరాలు ఇచ్చారు 🙄 🙄 🙄","Ah , till now you gave  replies till now  🙄 🙄 🙄", ఆహ్ ఇప్పటి వరకు replies ఇచ్చవ్ ga 🙄 🙄 🙄
2659,HD నాణ్యత గల మూవీ లింక్ ఇక్కడ ఉంది .నేను ఈ చిత్రాన్ని ఎలా చూడగలను,Here is the HD quality Movie Link .How can I see this film,Here is the HD quality Movie Link .How can నేను see this film
1881,"తెలుగు రివ్యూ అన్నారు, తెలుగులో చెప్పండి బ్రో","They said Telugu review, say it in Telugu bro","తెలుగు review అని చెప్పారు , తెలుగులో చెప్పండి bro "
4128,గాలి సంపత్ రివ్యూ కూడా ఆశించవచ్చా?,Can we expect Gali Sampath review also?,Can we expect గాలి సంపత్ review also ?
1777,మీరు అప్‌డేట్‌లు ఇవ్వడం ఆపివేశారు,You stopped giving updates,Bro updates ivadum stop చేసేసావ్
4646,సినిమా మంచిదైనా చెడ్డదైనా కానీ చాలా కాలం తర్వాత మాస్ కమర్షియల్ సినిమా చూడటం చాలా బాగుంది,Movie is good or bad but still watching a mass commercial movie after long time felt nice,Movie is good or bad but still watching a mass commercial movie after long time felt nice
1015,ఓహ్ మై బేబీ నేను మీ వాయిస్‌ని ప్రేమిస్తున్నాను 🎧 🎧,Oh my baby I love your voice 🎧 🎧,Oh my baby I love your voice 🎧 🎧
2822,జాక్ స్నైడర్ జస్టిస్ లీగ్ బ్లాక్ బస్టర్ మూవీ అవుతుంది,Zack snyder justice league will be a blockbuster movie,Zack synder justice league will be a blockbuster movie
4520,సూపర్ స్టార్ మహేష్ సూపర్బ్ యార్ నుండి బ్లాక్ బస్టర్ మూవీ,Blockbuster movie from super star Mahesh superb yaarr,Block buster movie from super star Mahesh superb yaarr
2307,ఓప్ బ్రో మీరు అన్ని సినిమాలను ఒకే సమయంలో ఎలా చూడగలరు,Op bro how can u see all the movies at the same time,Op bro how can u see all the movies at the same time
401,మీ కథ చెప్పే స్టైల్ వావ్ తమిళనాడుకు చెందిన అద్భుతమైన ఫ్యాన్ బాయ్,Yours story telling style is wow its simply superb Fan boy from తమిళనాడు,Yours story telling style is wow its simply superb Fan boy from తమిళనాడు
7,"గ్రేట్ బ్రదర్, ఒకే రోజు 3 సినిమాలు చూశారు మరియు రివ్యూలు ఇవ్వలేదు","Great bro, single day 3 movies are watched and reviews are not given",Great bro single day 3 movies చూసి reviews చెప్పరు
