L1,L2,CM_candidates,Rating-1,Rating-2
ఈ లోక్ సభ ఎన్నికల్లో చిదంబరం కొడుకు కార్తీ శివగంగ లోక్ సభ సీటు నుంచి పోటీ చేస్తున్నారు .,Congress Karti Chidambaram is contesting Lok Sabha elections from Tamil Nadus Sivaganga parliamentary seat .,Lok Sabha elections చిదంబరం Karti శివగంగ seat నుంచి పోటీ చేస్తున్నారు .,4,3
అయితే ఎన్నికల తర్వాత వీరంతా మౌనం వహించారు .,"However , they were let off after the elections .",అయితే they were let off after the వహించారు .,1,1
ఆ కాల్పుల్లో 13 మంది చనిపోయారు .,13 people lost their lives during the firing .,the కాల్పుల్లో 13 మంది చనిపోయారు .,3,4
కీటకాలు తమ ఆహారాన్ని ఎలా రుచి చూస్తారు ?,How do animals obtain their nutrition ?,How do animals తమ nutrition ?,3,3
కుమార్తె సుహానా ఖాన్‌తో బాలీవుడ్ నటుడు షారుఖ్ ఖాన్,Suhana Khan is the daughter of Bollywood actor Shah Rukh Khan .,కుమార్తె Suhana ఖాన్ Bollywood actor Shah Rukh ఖాన్,3,1
రాబోయే ఎన్నికల్లో చంద్రబాబుకు ఓటమి తప్పదన్నారు .,Chandrababu Naidu lost the next round of elections .,next ఎన్నికల్లో చంద్రబాబుకు ఓటమి తప్పదన్నారు .,5,5
ఈ మేము మర్చిపోతే ఉండకూడదు అని ఏదో ఉంది .,Its something we mustnt forget .,మేము మర్చిపోతే ఉండకూడదు ఉంది something ఉంది,2,1
దీంతో కంపెనీ 58 రోజుల్లో రూ .,58 crore in the company .,58 crore in దీంతో company .,3,1
"చదవడం , రాయడమంటే ఆయనకు చాలా ఇష్టం .",He loves reading and writing poetry .,"చదవడం , writing poetry ఆయనకు చాలా ఇష్టం .",5,4
ఇప్పటికే మసూద్ అజర్ నడుపుతున్న జైషే మహ్మద్ సంస్థ యూఎన్ నిషేధించిన ఉగ్రవాద సంస్థల జాబితాలో ఉంది,"The JeM , founded by Azhar , has already been in the UN's list of banned terror outfits",ఇప్పటికే Azhar నడుపుతున్న జైషే మహ్మద్ సంస్థ యూఎన్ నిషేధించిన ఉగ్రవాద list జాబితాలో,3,5
దీంతో 6 ఓట్ల తేడాతో యడ్డీ విజయం సాధించారు .,India won the game by 6 wickets .,దీంతో 6 wickets విజయం సాధించారు .,5,3
సినిమా ఇంత పెద్ద విజయం సాధించడం నిజంగానే చాలా సంతోషకరం .,I am very happy that the film was such a roaring success .,సినిమా such a roaring success నిజంగానే చాలా సంతోషకరం .,5,1
దుబాయ్‌లో జరిగిన వరల్డ్ గవర్నమెంట్ సమ్మిట్‌లో భారత ప్రధాని నరేంద్ర మోదీ పాల్గొన్నారు .,"Prime Minister Narendra Modi at the World Government Summit in Dubai , United Arab Emirates .",Prime Minister Narendra మోదీ at the World Government సమ్మిట్‌లో in Dubai .,5,2
ఈ విషయం ఈయనే స్వయంగా చెప్పారు .,He had said it himself .,He విషయం ఈయనే స్వయంగా said,3,1
"ఈ మార్గ‌ద‌ర్శకాల వ‌ల్ల ఆర్థిక కార్య‌క‌లాపాలు విస్త‌రించి ఉద్యోగిత‌కు , మౌలిక వ‌స‌తుల‌కు కొత్త ఉత్తేజం ల‌భిస్తుంది .",Economic activity generated will boost employment and development of infrastructure .,ఆర్థిక కార్య‌క‌లాపాలు generated will boost employment and development of,2,3
"లెజెండరీ తమిళనాడు దివంగత రాజకీయ నాయకుడు , మక్కల్ తిలగం ఎం . జి . రామచంద్రన్ఎంజీఆర్ పాత్రలో ప్రముఖ నటుడు అరవిందస్వామి నటిస్తున్నారు .",Arvind Swami will be essaying the role of late politician MG Ramachandran aka MGR in Kangana Ranaut-starrer Thalaivi .,Arvind Swami will be essaying the మక్కల్ of late రాజకీయ నాయకుడు MG Ramachandran aka జి in,3,1
సింధ్‌ ప్రావిన్స్‌ లో ఇప్పటికే సొంత హిందూ వివాహ చట్టం అమలులో ఉంది .,The Sindh province has already formulated its own Hindu Marriage Law .,సింధ్‌ ప్రావిన్స్‌ లో ఇప్పటికే its own హిందూ Marriage చట్టం అమలులో ఉంది .,5,1
కానీ ఆయన అభిమానులు ఆందోళన చెందారు .,But his fans dont care .,But his అభిమానులు dont care,5,3
తన ఫేస్ బుక్ ఖాతాలో ఓ కామెంట్ పోస్ట్ చేశారు .,He made the statement in his Facebook post .,in his ఫేస్ బుక్ ఖాతాలో కామెంట్ పోస్ట్ చేశారు .,4,5
ప్రారంభించునపుడు ప్రక్రియ 'యూనిట్' నిలువుపట్టీను చూపించు,Show process 'Unit' column on startup,ప్రారంభించునపుడు ప్రక్రియ 'Unit చూపించు,5,1
పెండింగ్ లో ఉన్న ఆదాయ‌ప‌న్ను రిఫండ్‌ల‌ను వీలైనంత త్వ‌ర‌గా తిరిగి చెల్లించాల‌ని కేంద్ర ప్ర‌భుత్వం 2020 ఏప్రిల్ 8న నిర్ణ‌యం తీసుకున్న‌దానికి అనుగుణంగా ఈచ‌ర్య‌లు చేప‌ట్టారు .,"24 , 603 crore have been issued in 19 . 79 lakh cases to taxpayers and corporate tax refunds amounting to Rs .",crore లో ఉన్న tax రిఫండ్‌ల‌ను వీలైనంత త్వ‌ర‌గా తిరిగి lakh కేంద్ర ప్ర‌భుత్వం 79 ఏప్రిల్ 8న 603 చేప‌ట్టారు .,4,1
బీజేపీ వైపు తెలంగాణ టీడీపీ నేతల చూపు,Telangana TDP leaders prefer BJP as ally,Telangana TDP నేతల prefer బీజేపీ వైపు,4,1
ఆ కారణంగానే ఆర్థిక మందగమనం నెలకొందా ?,What caused the economic downturn ?,What ఆ కారణంగానే economic నెలకొందా,3,1
"పలువురు రైతు నేతలు , నిరసనకారులను పోలీసులు అదుపులోకి తీసుకున్నారు .",Police detain several protesting farmers .,Police detain several రైతు నేతలు .,4,1
సరైన పార్కింగ్ వసతి లేకపోవడంతో ప్రయాణికులు ఎక్కడపడితే అక్కడే తమ ద్విచక్ర వాహనాలను పార్కింగ్ చేస్తున్నారు .,"Due to non-availability of proper parking spots , people park their vehicles wherever they want .","లేకపోవడంతో proper పార్కింగ్ వసతి , people park their vehicles wherever",3,1
నిందితుడిని వీలైనంత త్వరగా పట్టుకుంటామని పోలీసులు వెల్లడించారు .,Police said that the accused will be arrested soon .,నిందితుడిని will be arrested వీలైనంత త్వరగా పోలీసులు వెల్లడించారు .,4,1
యష్ రాజ్ ఫిలిమ్స్ సంస్థ ఈ చిత్రాన్ని నిర్మిస్తోంది .,The film is produced by Yash Raj Films .,The film is produced by యష్ Raj ఫిలిమ్స్ సంస్థ .,5,5
2018-19లో వాస్తవ జీడీపీ వృద్ధి 7 . 4శాతంగా నమోదు కావచ్చని విశ్లేషించింది,India to grow at 7 . 4 per cent in 2018: IMF,India to grow at 7 . 4 నమోదు in విశ్లేషించింది,1,1
"కేసు నమోదుచేసి దర్యాప్తు చేస్తున్నట్టు ఎస్సై తెలిపారు , .",He said case has been registered and investigations are on .,He said case నమోదుచేసి and investigations are on .,4,1
అనంత‌రం గాంధీ ఆస్ప‌త్రికి త‌ర‌లించగా చికిత్స పొందుతూ క‌న్నుమూసింది .,She was then shifted to Gandhi Hospital and is undergoing treatment .,అనంత‌రం Gandhi ఆస్ప‌త్రికి త‌ర‌లించగా treatment పొందుతూ క‌న్నుమూసింది .,5,5
సిటీలో దాదాపు 33 లక్షల మంది ప్రజలు సరాసరిగా ఆర్టీసీ బస్సుల్లో ప్రయాణిస్తుంటారు .,About 33 lakh passengers utilise the TSRTC bus services in the city .,సిటీలో దాదాపు 33 lakh ఆర్టీసీ బస్సుల్లో ప్రయాణిస్తుంటారు .,5,5
"వివిధ రాష్ట్రాలు , కేంద్ర పాలిత ప్రాంతాలు జారీ చేసే రేషన్‌ కార్డులు ఇక స్టాండర్డ్‌ ఫార్మాట్‌లో ఉండనున్నాయి .",The ration cards issued by different states and union territories will have a similar standard format .,issued by వివిధ states and కేంద్ర territories,5,4
ఎన్‌ఆర్‌సిని దేశమంతటా అమలు చేస్తామని కేంద్ర హోం మంత్రి అమిత్‌ షా చాలాసార్లు చెప్పారన్నారు .,Union Home Minister Amit Shah has repeatedly claimed that the NRC exercise would be implemented across the country .,ఎన్‌ఆర్‌సిని దేశమంతటా అమలు చేస్తామని Union Home మంత్రి అమిత్‌ షా చాలాసార్లు చెప్పారన్నారు .,5,5
నితిన్ కక్కర్ డైరెక్ట్ చేసిన ‘జవానీ జానేమన్’ సినిమాలో టబు కీలక పాత్రలో నటించారు .,Jawaani Jaaneman' is directed by Nitin Kakkar and also features Tabu in pivotal role .,by Nitin డైరెక్ట్ చేసిన ‘జవానీ జానేమన్’ also features పాత్రలో నటించారు role,3,1
"వివాదాస్పదమైన నేషనల్ రిజిస్టర్ ఆఫ్ సిటిజన్స్ ఎన్‌ఆర్‌సి , పౌరసత్వ సవరణ చట్టాన్ని ప్రశాంత్‌ కిషోర్‌ వ్యతిరేకించారు .",Prashant Kishor has been trenchant critic of the Citizenship Amendment Act and the National Register of Citizens .,"వివాదాస్పదమైన of నేషనల్ రిజిస్టర్ of Citizens , పౌరసత్వ Amendment చట్టాన్ని Prashant Kishor వ్యతిరేకించారు .",5,5
ప్రభుత్వం కూడా దీనికి ఆమోదం తెలిపినట్టు ఆయన వివరించారు .,The Government has acknowledged this too .,వివరించారు too దీనికి ఆమోదం తెలిపినట్టు ఆయన వివరించారు,2,1
నా నన నాకు ఇచ్చిన రెండు వందల డాలర్లు .,Two hundred dollars that my nana gave to me .,Two వందల డాలర్లు my nana gave to me .,3,1
తెలంగాణ పునర్నిర్మాణంలో కూడా కేసీఆర్ వెంటే ఉంటామని తెలిపారు .,KCR said TRS would play a role in rebuilding Telangana .,కేసీఆర్ వెంటే said TRS would play a,2,1
అయితే వాళ్లు తమ సొంత జ్ఞానంతో మనకు సలహాలు ఇవ్వరు .,Jehovah uses the Christian congregation and its overseers to mold us on a personal level .,Jehovah అయితే congregation తమ mold us on,2,1
"ప్రఖ్యాత తమిళ సినీ , టీవీ డబ్బింగు ఆర్టిస్ట్‌ చిన్మయి , డబ్బింగ్‌ యూనియన్‌ , తన సభ్యత్వాన్ని రద్దు చేసినట్టు తెలిపారు సభ్యత్వ",Singer Chinmayi's membership from Tamil dubbing union terminated,చిన్మయి Chinmayi 's membership from Tamil dubbing రద్దు,3,1
ఆ తరువాత కత్రినా కైఫ్‌తో చాలా కాలం సంబంధాలు కొనసాగించాడు .,"He had a long relationship with Katrina Kaif , then a brief growing friendship with Mahira Khan .","a కాలం relationship with Katrina Kaif , then కొనసాగించాడు .",3,1
ఉత్తర కన్నడ జిల్లా కార్వార్‌లో ఈ వ్యవహారం చోటుచేసుకుంది .,The incident took place in Kerala's Kannur district .,జిల్లా కార్వార్‌లో ఈ incident చోటుచేసుకుంది district,3,2
అలాగే వినియోగదారుల వ్యవహారాల మంత్రిత్వ శాఖకు సంబంధించిన ఫిర్యాదులను కూడా చేపట్టారు .,"Also , grievances related to the Ministry of Consumer Affairs were taken up","Also , ఫిర్యాదులను related to the వినియోగదారుల Affairs మంత్రిత్వ",2,1
ఉద‌యం నుంచి ఆసియా మార్కెట్లు మిశ్ర‌మంగా ఉన్నాయి .,Asian markets traded mixed this morning .,ఉద‌యం నుంచి Asian ఉన్నాయి mixed ఉన్నాయి,1,1
ఈ భాష యొక్క ఏ విధమైన ?,What sort of language is this ?,ఏ విధమైన of language is this ?,4,1
"‘గిరిజనులకు భూ హక్కులు ఇవ్వడంలో గుజరాత్‌ , మధ్యప్రదేశ్‌ ముందంజలో ఉన్నాయి .",Gujarat and Madhya Pradesh saw best progress in land rights to tribals .,"‘గిరిజనులకు land rights ఇవ్వడంలో Gujarat , Madhya Pradesh .",2,4
"కాగా నిరసన తెలుపుతున్న కాంగ్రెస్ పార్టీకి సమాజ్ వాదీ , తృణమూల్ కాంగ్రెస్ మద్దుతు తెలిపాయి",Members from Trinamool Congress and Samajwadi Party vociferously opposed the statement,"కాగా నిరసన Congress పార్టీకి సమాజ్ వాదీ , తృణమూల్",3,3
"జనాభాలో కేవలం 14% మంది మాత్రమే అధికారిక , జాతీయ భాషగా స్థిరపడిన పోర్చుగీస్ భాషను మాట్లాడగలరు .","Nationwide , only 12% of the population has expressed confidence in the police .","Nationwide , only 12 % స్థిరపడిన in",2,1
"ఇక్కడ నుండి కాంపూర్ , అలహాబాదు , బండా ఉత్తరప్రదేశ్ , లక్నో నగరాలకు దినసరి బసులు నడుపబడుతున్నాయి .","There are frequent buses to Kanpur , Allahabad , Banda , and Lucknow .","There ఇక్కడ to కాంపూర్ , అలహాబాదు , Banda లక్నో నగరాలకు buses",3,1
ఒక గమ్మత్తైన విశ్లేషణ యొక్క ఏ విధమైన ?,What kind of predictive analysis is this ?,ఒక predictive విశ్లేషణ యొక్క ఏ విధమైన ?,1,1
హామిల్టన్‌: టీమిండియా కెప్టెన్‌ విరాట్‌ కోహ్లి మరో అరుదైన రికార్డుకు చేరువలో ఉన్నాడు .,Indian cricket team captain Virat Kohli is on the verge of breaking yet another massive record .,verge టీమిండియా కెప్టెన్‌ Virat Kohli మరో yet చేరువలో ఉన్నాడు .,3,1
తన 125 ఏళ్ల చరిత్రలో మొదటిసారిగా కోకా కోలా అల్కాహాలిక్ డ్రింక్‌ను ప్రవేశపెట్టే యోచనలో ఉంది .,"In a break from its 125-year-old tradition , Coca-Cola is set to launch its first ever alcoholic drink .","In a break from its 125-year-old tradition , కోకా is set to",2,1
పాత వ్యక్తి కోసం ప్రెట్టీ మంచి ప్రతిచర్యలు .,Pretty good reflexes for an old guy .,పాత guy కోసం ప్రెట్టీ మంచి ప్రతిచర్యలు .,1,1
"నగరాన్ని మొదట 150 , 000 జనాభా కోసం తయారు చేశారు .","It was initially designed for a population of 150 , 000 .","It మొదట 150 , 000 జనాభా కోసం తయారు చేశారు",3,1
6 లక్షల కోట్ల రుణాలతో టెలికాం సెక్టార్ సతమతం,The telecom sector has a debt of Rs 4 . 6 lakh crore .,6 lakh కోట్ల రుణాలతో telecom sector సతమతం,5,5
"వీటిలో ప్రధాన కెమెరా సామర్థ్యం 13 మెగాపిక్సెల్ కాగా , దీంతోపాటు 2 మెగాపిక్సెల్ సపోర్ట్ కూడా ఉంది .",There's a 13-megapixel main camera accompanied by a 2-megapixel lens .,13-megapixel కెమెరా సామర్థ్యం మెగాపిక్సెల్ కాగా camera ఉంది .,3,1
గాయపడినవారిలో ఓ పోలీసు ఆఫీసర్ కూడా ఉన్నాడు .,A police officer was among those wounded .,గాయపడినవారిలో ఓ పోలీసు officer ఉన్నాడు .,5,5
సురేందర్ రెడ్డి దర్వకత్వం వహిస్తున్న ఈ చిత్రాన్ని మెగా పవర్ స్టార్ రామ్ చరణ్ తన సొంత బేనర్ కొణిదెల ప్రొడక్షన్స్ పతాకంపై నిర్మిస్తున్నారు .,The movie is being helmed by Surender Reddy under Megapowerstar Ram Charan's Konidela Productions .,by Surender Reddy ఈ చిత్రాన్ని Megapowerstar రామ్ చరణ్ 's Konidela పతాకంపై Konidela,3,1
కానీ ఈ సంకేతాలు మైనారిటీలో ఉన్నాయి .,But these numbers are minuscule .,But ఈ minuscule ఉన్నాయి .,5,1
కీలక వడ్డీరేట్లలో ఎలాంటి మార్పులు చేయలేదు .,There was no change in fixed interest rates .,There was no మార్పులు in fixed interest rates .,4,5
ఈ కింది విధంగా ఇది సాధారణంగా ఉంది:,Heres how it usually goes:,Heres విధంగా ఇది usually goes,1,1
దీనివల్ల రైతులకు మంచి ధర వస్తుంది .,This will enable farmers to get a better price .,enable farmers to get మంచి price .,4,3
ఈ చిత్రానికి దేవిశ్రీ ప్రసాద్‌ స్వరాలు అందిస్తున్నారు .,Devisri Prasad is the music director for this film .,this చిత్రానికి దేవిశ్రీ Prasad స్వరాలు అందిస్తున్నారు .,4,3
అంబస్స దలై జిల్లాకు కేంద్రంగా ఉంది .,The district headquarters are in Ambassa .,అంబస్స దలై district కేంద్రంగా ఉంది .,5,5
అనంతరం మంత్రి మల్లం పేట గ్రామ సభలో పాల్గొన్నారు .,"Later , the Minister attended a meeting at municipality town hall .",Later మంత్రి మల్లం పేట గ్రామ సభలో పాల్గొన్నారు .,5,5
అక్షరశైలి సమాచార క్రియలో లేబుల్ అక్షరశైలి పరిమాణం,Font size for label in font info mode,అక్షరశైలి info లేబుల్ అక్షరశైలి పరిమాణం,1,1
అయినా కొత్త కేసులు రావడం మాత్రం ఆగడం లేదు .,"However , there are no fresh cases .","However , there are no కొత్త cases",5,5
ఆయన రచనలకు సాహిత్య అకాడెమీ పురస్కారం కూడా దక్కింది .,He also received awards for his literature .,He also received రచనలకు literature .,2,1
ఆర్టీసీని ప్రభుత్వంలో విలీనం చేయాలనడం తప్ప కార్మికులు లేవనెత్తిన డిమాండ్లన్నింటినీ రాష్ట్ర ప్రభుత్వం పరిశీలించాలని కోరారు .,Keshava Rao asked the government to consider all the RTC union demands except merging the corporation into the government .,Keshava Rao asked the government to consider all the తప్ప merging,1,1
అదేనేమో త్రిపురకి కూడా అడ్డం వచ్చింది .,The same thing happened in Tripura .,అదేనేమో త్రిపురకి same వచ్చింది .,3,5
తొలుత బ్యాటింగ్ చేసిన భారత్ 92 పరుగులకే చేతులెత్తేసింది .,India lead by 92 runs .,చేసిన భారత్ 92 runs .,3,1
ఈ క్రమంలో గండ్ర జ్యోతిని వరంగల్‌ గ్రామీణ జిల్లా జెడ్పీ చైర్‌పర్సన్‌ అభ్యర్థిగా టీఆర్‌ఎస్‌ ఖరారు చేసింది,"Subsequently , TRS has finalized Gandra Jyoti as the candidate for the ZP Chairperson of the Warangal Rural District",ఈ క్రమంలో Gandra వరంగల్‌ Rural District జెడ్పీ Chairperson అభ్యర్థిగా టీఆర్‌ఎస్‌ ఖరారు చేసింది,5,1
2019 కల్లా 4G ని భారత్ లో అగ్రగామిగా నిలపెడతాం .,"""This will make India a leader in 4G in 2019 , """" he said . """,2019 కల్లా 4G ని భారత్ India అగ్రగామిగా నిలపెడతాం .,3,1
వివాదాస్పద దర్శకుడు రాంగోపాల్ వర్మ అన్నంతపనీ చేశారు .,Controversial director Ram Gopal Varma directed it .,Controversial దర్శకుడు రాంగోపాల్ Varma directed it,5,5
హిందీలో స‌ల్మాన్ ఖాన్ హోస్ట్ చేసిన‌ బిగ్ బాస్ రియాలిటీ షోకి అత్యంత ప్ర‌జాద‌ర‌ణ ల‌భించిన సంగతి తెలిసిందే .,Salman Khan's popular reality show Bigg Boss is one of the most followed shows on Indian television .,స‌ల్మాన్ Khan 's రియాలిటీ reality show బాస్ is one of the most on,2,1
ఆ తరువాతా ఈ రెండు పార్టీల మధ్య స్నేహ సంబంధాలు కొనసాగుతూ వస్తున్నాయి .,"Since then , relations between the two parties had been frosty .",ఆ తరువాతా relations between the two parties కొనసాగుతూ వస్తున్నాయి .,5,5
త్వరలో రాజకీయాల్లోకి రావాలనుకుంటున్న ఆమె బీజేపీ తో సన్నిహితం గా ఉంటోంది .,He is expected to join the BJP shortly .,shortly రాజకీయాల్లోకి రావాలనుకుంటున్న ఆమె BJP గా ఉంటోంది .,3,1
వివాదాస్పద సాగు చట్టాలు మూడింటిని రద్దు చేయాలని కోరుతున్నాం .,We want the three farm laws to be repealed .,వివాదాస్పద సాగు laws మూడింటిని to చేయాలని కోరుతున్నాం .,1,1
అయితే ఇంతవరకు ఎవరినీ అరెస్ట్ చేయలేదని తెలిపారు .,"However , he said no one has been arrested so far .",అయితే ఇంతవరకు ఎవరినీ arrested చేయలేదని తెలిపారు .,4,5
ఈ విషయమై మాటీవీ నుండి అధికారిక ప్రకటన వెలువడింది .,An official notification has been issued in this regard .,ఈ విషయమై మాటీవీ నుండి official ప్రకటన వెలువడింది .,4,2
అండర్‌-19 వన్డే సిరీస్‌ విజేత భారత యువ జట్టు,India Under-19s in Youth ODI cricket:,భారత Under-19s in,2,1
దేశంలో కరోనా తీవ్రత ఎక్కువగా ఉన్న రాష్ట్రాల్లో ఈ మూడు ముందువరుసలో ఉన్నాయి,India's top 3 states with highest COVID-19 cases,దేశంలో కరోనా తీవ్రత ఎక్కువగా states రాష్ట్రాల్లో top,3,1
"చేప , పాములు మరియు పెంపుడు జంతువులు","animals , birds and the wildlife .","చేప , birds మరియు పెంపుడు జంతువులు",5,5
కొంతకాలంగా గుండె సంబంధిత వ్యాధితో కళాప్రపూర్ణ బాధపడుతోంది .,He had been suffering from a heart condition for some time .,కొంతకాలంగా heart condition కళాప్రపూర్ణ బాధపడుతోంది .,3,3
కరోనా మహమ్మారి దెబ్బకు ప్రపంచవ్యాప్తంగా పాఠశాలలు మూతపడ్డాయి .,Schools have been shut down across the nation due to the coronavirus pandemic .,coronavirus pandemic ప్రపంచవ్యాప్తంగా పాఠశాలలు మూతపడ్డాయి .,4,1
బౌల్ ఔట్‌లో పాక్‌పై భారత్ విజయం,India beat Pak in netball,భారత్ in netball విజయం,3,3
జిల్లాలో ఇప్పటి వరకు ఒక్క కరోనా కేసులు నమోదు కాలేదు,Corona positive cases have been reported in 11 districts in the state so far,కరోనా cases have,2,5
మహీంద్రా జావా మోటార్సైకిల్ బ్రాండు పేరు క్రింద ప్రీమియం సెగ్మెంట్లో నూతన ఉత్పత్తులను ప్రవేశపెట్టనుంది,"Under the Jawa brand , Mahindra will focus on premium segment",మహీంద్రా Jawa brand క్రింద premium ప్రవేశపెట్టనుంది,5,4
ఇక రచయితగాను ఆయన తన ప్రతిభను నిరూపించుకున్నారు .,"Besides , he proved his talent as a writer too .",too రచయితగాను ఆయన తన talent నిరూపించుకున్నారు .,3,1
ఈ రెండు సినిమాల దర్శకులు ఇంకా ఖరారు కాలేదు .,The makers of both of the films haven't responded on this yet .,ఈ రెండు సినిమాల makers ఇంకా ఖరారు కాలేదు .,5,4
మీ షాట్ క్లిప్‌బోర్డుకి కాపీ చేయబడింది . అతికించడానికి { screenshots-meta-key }-V ని నొక్కండి .,Your shot has been copied to the clipboard . Press { screenshots-meta-key }-V to paste .,మీ షాట్ has been copied to the అతికించడానికి,4,1
"క్రైస్తవులు తమ పేరును క్రైస్తస్‌ అనే వ్యక్తి నుండి తీసుకున్నారని , పిలాతు ఆయనను చంపాడని రోమన్‌ చరిత్రకారుడు టాసిటస్‌ కూడా చెప్పాడు .","Roman historian Tacitus also states that Pilate executed Christus , from whom Christians took their name . Jewish Outrage Provoked","Roman historian టాసిటస్‌ కూడా that పిలాతు ఆయనను Christus , from whom క్రైస్తవులు took తమ name .",3,1
గతంలోనూ ఇలా ఎన్నో ఉదంతాలు జరిగాయి .,Many instances of this took place in the past .,past ఇలా Many ఉదంతాలు జరిగాయి .,5,4
"ఈ సందర్భంగా ప్రధాని మోదీ , మొజాంబిక్ అధ్యక్షుడు ఫిలిప్ న్యూసీ సంయుక్తంగా మీడియాతో మాట్లాడారు","In Mozambique , Modi held wide-ranging talks with President Filipe Nyusi","సందర్భంగా ప్రధాని మోదీ , మొజాంబిక్ President ఫిలిప్ Nyusi సంయుక్తంగా talks",4,1
హైదరాబాద్‌ : వైద్యులపై దాడులకు పాల్పడితే ఉపేక్షించబోమని హైదరాబాద్‌ పోలీసు కమిషనర్‌ అంజనీ కుమార్‌ హెచ్చరించారు .,"Hyderabad Police Commissioner , Anjani Kumar , has warned of strict action against anyone attacking the doctors .","Hyderabad పోలీసు Commissioner , అంజనీ Kumar , has warned",3,5
ఇండియాలో 2020 ఎఎమ్జి జిటి-ఆర్ లాంచ్ డేట్ ఫిక్స్ చేసిన మెర్సిడెస్ బెంజ్,Mercedes-Benz has confirmed the launch of their 2020 AMG GT-R in the Indian market,ఇండియాలో 2020 ఎఎమ్జి జిటి-ఆర్ launch ఫిక్స్ చేసిన Mercedes-Benz,5,5
హైదరాబాద్‌: హాలీవుడ్‌ చిత్రం ‘అవెంజర్స్‌ ఎండ్‌గేమ్‌’ విడుదల కోసం అభిమానులు ఎంతో ఆతృతగా ఎదురుచూస్తున్నారు .,"With the release of the much-awaited film Avengers: Endgame , Marvel fans in India are going berserk about watching the movie .",With the విడుదల of the ఎంతో film Avengers : Endgame,1,1
ప్రధానికి కేజ్రీవాల్‌ మద్దతు పాక్ మంత్రికి కౌంటర్‌,Pakistani Minister in favour of Kejriwal,Kejriwal మద్దతు Pakistani Minister,3,2
5 లక్షల ఆదాయానికి ఆదాయపన్ను లేదన్న విషయం తెలిసినదే .,No tax is payable on the income of Rs 2 . 5 lakh .,No tax is payable on the ఆదాయానికి,5,1
"ఆయనకు భార్య రాజేశ్వరి , కుమార్తె , కుమారుడు ఉన్నారు .","He is survived by wife , son and a daughter .","He is రాజేశ్వరి by wife , కుమారుడు and a daughter",3,1
బాలీవుడ్‌కే చెందిన క్యారెక్టర్ ఆర్టిస్ట్ అనుపమ్ ఖేర్ కుటుంబ సభ్యుల్లో నలుగురికి కరోనా సోకింది,Actor Anupam Kher's four family members test COVID positive . mother admitted to Kokilaben Hospital,Actor Anupam ఖేర్ four సభ్యుల్లో నలుగురికి కరోనా COVID,1,1
తనకు ఆయన బేషరతుగా క్షమాపణలు చెప్పాలని డిమాండ్‌ చేశారు .,He wanted him to tender an unconditional apology .,He wanted him బేషరతుగా apology .,3,1
కొత్త కేసుల కంటే కోలుకుంటున్నవారి సంఖ్య అధికంగా ఉండటం గమనార్హం .,The number of patients recovering is higher than the number of new patients .,new కంటే కోలుకుంటున్నవారి సంఖ్య అధికంగా ఉండటం గమనార్హం .,2,1
